Sucursal;Division;Categoria;Grupo;Producto;ProdNombre;Proveedor;SALDOUNDTOTAL; Total Costo Und.
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000183;EXTRACTOR AIRE 10 38W SANKEY;SIN ESPESIFICAR;1;L547.12
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000189;DIFUSOR 12X12 L-JS4;FRIOPARTES S A DE C.V.;4;L939.14
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000190;" CORTINA DE AIRE P/ PUERTA 60"" ANCHO 220V 5 PIES";FRIOPARTES S A DE C.V.;3;L9,304.34
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000229;CINTA ADHESIVA ELECTRICA 3M AMARILLA;DISTRIBUIDORA INDUSTRIAL S.A. DE C.V.;5;L196.55
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000247;CINTA DUCTO;DOMINGA MEJIA/PROYECTOS;8;L360.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000257;"TUBERIA 3/4 X50"" FLEXIBLE EN ROLLO";FRIOPARTES S A DE C.V.;1;L2,368.69
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000270;CAPACITOR SECO 3X450;CARLOS ALBERTO URBINA VELASQUEZ/PROYECTO;3;L38.98
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000272;CAPACITOR SECO 5X450;AIRE FRIO DE HONDURAS S. A DE C. V;1;L14.09
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000273;CAPACITOR 25X370/440;AIRE FRIO DE HONDURAS S. A DE C. V;1;L183.13
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000274;CAPACITOR 30X370/440;AIRE FRIO DE HONDURAS S. A DE C. V;1;L186.65
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000281;"TUBERIA 1/2"" X50´ FLEXIBLE EN ROLLO ";AIRE FRIO DE HONDURAS S. A DE C. V;5;L9,191.30
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000299;TERMINAL HEMBRA AMARILLA 5.5 250;CIA MERCANTIL LA CASA BLANCA SRL CV;400;L600.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000300;TERMINAL MACHO AMARILLA ;CIA MERCANTIL LA CASA BLANCA SRL CV;74;L148.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000304;TUERCA 1/4 CUELLO CORTO;AIRE FRIO DE HONDURAS S. A DE C. V;3;L37.34
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000305;CAPACITOR SECO 10X450;AIRE FRIO DE HONDURAS S. A DE C. V;9;L221.87
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000306;TUERCA 3/8 BRONCE;AIRE FRIO DE HONDURAS S. A DE C. V;9;L149.24
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000309;TUERCA 1/2 LARGO SN1;AIRE FRIO DE HONDURAS S. A DE C. V;2;L30.99
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000315;AISLANTE 3/4 X 1/2;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;26;L760.23
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000316;AISLANTE 1 1/8 X 1/2;AIRE FRIO DE HONDURAS S. A DE C. V;81;L3,480.19
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000341;CODO SOLDABLE 3/4X90;FRIOPARTES S A DE C.V.;20;L423.09
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000342;TAPE DUCTO GRIS 2X60 NASHUA;AIRE FRIO DE HONDURAS S. A DE C. V;16;L3,506.09
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000344;SENSOR DE AMBIENTE MIDEA 202432390005;FRIOPARTES S A DE C.V.;6;L3,547.80
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000348;"REFRIGERANTE R134A, LATAS DE 12 OZ C""";FRIOPARTES S A DE C.V.;3;L234.79
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000349;OVERLOAD PTC MULTIPLE 1/8 HP  A 1/3HP;FRIOPARTES S A DE C.V.;22;L478.19
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000351;FILTRO SOLD GRANDE 1/4 25GR;AIRE FRIO DE HONDURAS S. A DE C. V;3;L112.69
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000372;CORTINA DE AIRE 4FT 110V;DANILOS STORE SA;1;L2,695.65
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000374;REL/OVE/CAP 1/4 - 1/3 HP 115V;FRIOPARTES S A DE C.V.;5;L739.13
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000386;AISLANTE 1/2 X 1/2;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;24;L572.77
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000398;TUERCA 5/8 C/CORTO ;SIN ESPESIFICAR;3;L92.31
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000402;CODO SOLDABLE 1 5/8X90;AIRE FRIO DE HONDURAS S. A DE C. V;8;L806.96
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000403;FILTRO SOLDABLE 5/8;AIRE FRIO DE HONDURAS S. A DE C. V;3;L3,547.83
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000404;TUBERIA RIGIDA 1 5/8;AIRE FRIO DE HONDURAS S. A DE C. V;1;L4,904.35
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000405;UNION SOLDABLE 1 5/8;AIRE FRIO DE HONDURAS S. A DE C. V;5;L321.74
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000411;CONTACTOR ESPECIAL 2P-24V-40AMP;FRIOPARTES S A DE C.V.;11;L1,769.57
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000412;MONITOR DE VOLTAJE 10A 240V;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;10;L16,492.97
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000413;TUERCA 7/8;AIRE FRIO DE HONDURAS S. A DE C. V;1;L59.87
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000418;TUBERIA 1/4 X50 FLEXIBLE;AIRE FRIO DE HONDURAS S. A DE C. V;2;L1,248.99
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000419;AISLAMIENTO 5/8 x 3/4;FRIOPARTES S A DE C.V.;10;L478.26
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000421;UNION REDUC/SOLD 1 1/8X7/8;FRIOPARTES S A DE C.V.;59;L1,750.02
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000422;SENSOR DE TEMP. P/AFCU-05;AIRE FRIO DE HONDURAS S. A DE C. V;3;L534.78
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000434;CODO SOLDABLE 7/8 45°;FRIOPARTES S A DE C.V.;31;L700.88
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000439;CODO SOLDABLE 1 1/8X90;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;4;L307.87
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000444;BOMBA DRENAJE P/MINI SPLIT 110-240V 40L/H;FRIOPARTES S A DE C.V.;4;L2,956.52
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000450;ADAPTADOR P/MANGUERA R410A;AIRE FRIO DE HONDURAS S. A DE C. V;1;L408.50
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000452;12.5 MFD X 370V CAPACITOR ;FRIOPARTES S A DE C.V.;6;L208.69
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000454;MOTOR YDK230-6F1;AIRE FRIO DE HONDURAS S. A DE C. V;1;L2,234.95
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000456;VENTILADOR CIELO 56 BLANCO;ALEJANDRO NAPOLEON LARACH LARACH;2;L4,915.56
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000459;TRAMPAS 3/4 DE COBRE;FRIOPARTES S A DE C.V.;2;L243.48
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000463;BOMBA P/CONDENSADO DIVERSITECH,1.2GPM,16¨ ALTU;FRIOPARTES S A DE C.V.;1;L1,478.26
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000464;VENTILADOR INDUSTRIAL WYDS-AS4280 CHINA 2024;SIN ESPESIFICAR;1;L13,806.55
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000465;VENTILADOR INDUSTRIAL WYDS-AS3680 CHINA 2024;SIN ESPESIFICAR;1;L15,706.51
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000467;VENTILADOR FINO #16 CHINA 2025;SIN ESPESIFICAR;154;L46,004.98
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000474;CAPACITOR DE 16UF X450V;VICTOR MANUEL ZELAYA VEGA;1;L75.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000484;VALVULA CARGA 1/4 ;AIRE FRIO DE HONDURAS S. A DE C. V;4;L47.61
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000491;VENTILADOR INDUSTRIAL ASPA PEQUEÑA/CHINA2024;SIN ESPESIFICAR;1;L13,695.21
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000492;VENTILADOR INDUSTRIAL ASPA GRANDE/CHINA 2024;SIN ESPESIFICAR;2;L31,159.81
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000493;VENTILADOR CIELO LUJO C/LAMP;ALEJANDRO NAPOLEON LARACH LARACH;1;L2,410.00
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000498;REFRIGERANTE 134A DE 30L;AIRE FRIO DE HONDURAS S. A DE C. V;2;L3,733.04
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000511;TIME DELAY ON MAKE 6SEG-8MIN 19-240V;FRIOPARTES S A DE C.V.;2;L492.76
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000512;FILTRO CTO PURIFICADOR AGUA;TORNILLOS Y SERVICIOS MULTIPLES LACAST S.A DE C.V;1;L43.48
