MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;LAMINAS ALUZIN;;;;;;-12;;-L1,040.04;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;MASILLA;;;;;;-8;;-L3,387.34;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;MATERIAL DE CONSTRUCCION;;-104;;-L3,308.07;;-976;;-L34,826.12;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;PEGAMENTO;;;;;;-6;;-L5,602.87;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;PINTURA;;;;;;-33;;-L39,301.21;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;POSTES;;;;;;-32;;-L1,184.69;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;TANQUES;;-1;;-L1,030.07;;-3;;-L2,108.23;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;THINER;;;;;;-12;;-L530.03;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;TUBERIA PVC;;;;;;-21;;-L1,523.04;
ENERO;0;Diarios de Suministros;CONSTRUCCION;MATERIALES;TUBOS;;;;;;-2;;-L545.78;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;ACCESORIOS TECNOLOGICOS;;;;;;-2;;-L15,283.23;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;ADAPTADORES;;;;;;-1;;-L135.00;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;CABLE/MECHAS;;-3;;-L103.73;;-2;;-L2,760.00;
